id,lang
809237,en
745806,de
1158255,de
506686,de
1977658,de
759863,en
1064376,de
2165024,de
96954,en
144210,de
1326090,de
1180515,en
2105065,de
1794749,en
941506,en
1809764,en
599100,en
678400,de
326319,en
2151528,en
283608,en
1676934,en
1152119,de
1006156,de
1617338,de
1495604,en
1512874,en
278714,de
578190,de
1435121,de
1887565,en
681853,en
1587394,de
2247593,en
70198,de
586603,de
2038861,en
1628339,de
1243733,en
651961,en
1141358,de
450493,de
1487144,de
1758821,en
756082,en
1330943,en
531943,en
368212,de
310006,de
2056624,en
391716,de
1561793,en
354172,en
1503794,en
168938,de
1174115,de
88842,en
1633915,en
30757,de
1590390,en
98805,de
1520069,en
637707,en
1588110,de
972088,de
1677285,en
1604803,en
1762323,en
1589985,en
355740,de
1553907,en
653213,en
1995699,en
1687338,en
2056676,en
1841736,de
1909954,en
1728904,de
1055047,de
797813,en
1411965,en
435309,de
2219218,de
1498966,en
926830,de
210886,en
2183764,de
106540,de
1922569,en
1209113,en
2205673,en
98302,en
2105239,en
1676315,de
316006,de
1342708,en
663409,de
851805,en
357208,de
1118436,en
1618385,en
1963994,de
1251667,de
2215094,de
2049456,en
1518863,en
2206861,en
922700,en
611116,en
798374,en
2109912,en
1565291,en
84128,de
821944,de
2021676,de
205418,en
1880217,en
2004939,en
933173,de
771719,en
1684449,de
59158,en
466617,de
860677,en
225844,en
1014956,de
757147,de
1555290,en
201761,de
75057,de
1722269,en
1054640,de
1695803,en
606386,en
471864,en
63519,en
1686225,de
528334,en
1630639,de
16269,de
1498232,en
1757155,en
778150,de
2145788,en
1464527,de
1419550,de
906856,de
1744999,en
906493,en
1635436,en
2096934,en
914034,de
356610,en
938718,de
1089661,de
1091594,de
2160175,en
542652,de
1616666,en
1450853,de
1442358,de
794499,en
898094,en
2192834,de
1424026,en
2157512,de
2024845,de
863060,en
821628,en
493582,en
1839267,de
966539,de
749629,en
1454423,de
322576,en
1314011,en
1005661,de
433734,de
1528138,en
914292,de
1621375,en
126355,de
84247,de
1628858,de
664937,en
101083,en
1572794,en
1567018,de
2228298,en
2096007,de
1134241,en
1923220,en
2248306,de
238283,en
613006,en
1076461,de
664706,de
2154422,de
1601128,en
823707,en
151767,en
1986684,en
1529132,en
1592663,de
1109580,en
134469,de
1385441,de
795172,de
1494174,de
544447,en
2088200,de
493782,de
1734677,en
1151249,en
1866634,en
2098891,en
52329,de
1476332,de
1880895,de
1691607,en
1466205,en
1266578,de
1291815,de
1369146,de
1592614,en
605177,de
2009912,de
708355,en
333964,de
1375457,en
626891,en
101023,de
398922,en
595863,en
2131317,en
580554,en
268012,de
1073637,en
1141150,de
2046442,en
665458,en
564174,en
1970065,de
2113867,de
557758,de
714310,de
539930,de
1978618,de
1447546,en
365485,de
504277,en
5066,de
2215805,de
1299759,de
1589672,de
939945,en
1623903,en
796099,de
1751997,en
47837,de
430522,en
320218,de
1500801,de
2208634,de
1555807,de
1738674,de
229702,en
1898719,de
2127288,en
1840042,de
1699631,de
10202,de
1259005,en
712499,de
1677931,en
1299274,de
1340016,en
2021834,de
1930169,en
1895174,de
169206,en
1197657,en
584733,de
1816212,en
609139,de
1247942,de
655443,en
2132469,en
1843568,de
387626,en
300662,en
351032,de
2242119,de
2173507,en
832108,en
1768837,en
216706,en
1321078,de
2035744,en
60628,de
2249204,en
1644409,en
1338386,de
1649353,en
1153734,de
1311605,de
1703835,de
1472590,de
346567,de
16578,de
1543878,en
815952,de
1342267,en
2209992,en
733319,de
2250707,de
563452,en
1510064,en
790163,de
945091,de
337669,en
695230,de
1313975,en
883976,de
1617536,en
47328,de
1193434,en
1206191,de
1791185,en
761673,de
1513042,de
1982519,en
1717326,de
898044,en
123538,de
2103097,en
1812243,de
777021,en
461255,de
629536,en
1945153,en
259247,de
1928052,de
1561044,de
1987678,en
371781,en
638170,en
6676,en
314029,de
647205,de
430946,en
1508936,de
450238,en
530168,en
1753446,de
848182,en
2115511,de
854117,de
2007590,en
156975,de
1461495,de
1268397,de
144909,en
516907,de
1432447,de
1712666,de
1995845,en
758208,de
1052949,de
1490500,de
2144829,en
1723457,de
1940674,en
1029506,de
1103325,en
1910786,de
704675,en
682551,en
1736758,en
770695,de
1110983,en
1927910,en
351566,de
1644557,en
529737,de
733257,en
53471,de
1589385,en
1671482,en
1435882,en
2172699,en
1366514,de
1468056,en
740294,en
10494,en
2082092,en
1346106,de
1330132,en
935851,de
1161542,en
157434,de
840992,de
2167038,en
223191,en
1185011,en
1567738,en
879895,de
1396745,en
2171473,de
1676405,de
360296,en
1920953,en
1900484,en
2240397,en
856631,en
1276271,de
1173205,en
418990,de
1315167,en
271849,de
832439,de
1127370,en
532288,de
55375,de
1315759,de
1168630,de
1695197,de
1776490,de
460145,en
289639,en
749884,de
1272938,en
1002214,de
1576844,en
1648736,en
389837,en
1262146,de
887632,de
1102642,de
1205296,de
2011120,de
85772,de
1483922,de
716938,de
1886881,en
873813,en
1093033,en
51340,de
718298,en
1423117,de
994715,de
1949874,en
1845009,de
